Dagashi Kashi 2|ED|1|https://nl.catbox.video/009inw.webm|Okashi na Watashi to Hachimitsu no Kimi|Hachimitsu Rocket|14.6|99734|Dagashi Kashi 2|https://nl.catbox.video/m0787j.mp3
Chuunibyou demo Koi ga Shitai! Movie: Take On Me|ED|1|https://nl.catbox.video/y3xcen.webm|Kokoro no Namae|ZAQ|17.4|98762|Love, Chunibyo & Other Delusions!: Take On Me|https://nl.catbox.video/h0aywc.mp3
Karakai Jouzu no Takagi-san|ED|5|https://nl.catbox.video/8pcg01.webm|Chiisana Koi no Uta|Rie Takahashi|47.8|99468|Teasing Master Takagi-san|https://nl.catbox.video/315r8j.mp3
Nanatsu no Taizai: Imashime no Fukkatsu|ED|1|https://nl.catbox.video/0l9v3h.webm|Beautiful|Anly|19.9|99539|The Seven Deadly Sins: Revival of The Commandments|https://nl.catbox.video/7yvys7.mp3
Darling in the FranXX|ED|3|https://nl.catbox.video/dhhkcw.webm|Beautiful World|XX:me|36.5|99423|Darling in the FranXX|https://nl.catbox.video/s5ekrv.mp3
Sora yori mo Tooi Basho|ED|1|https://nl.catbox.video/d56hsd.webm|Koko kara, Koko kara|Inori Minase, Kana Hanazawa, Yuka Iguchi, Saori Hayami|49.1|99426|A Place Further Than the Universe|https://nl.catbox.video/v6mlat.mp3
Violet Evergarden|ED|1|https://nl.catbox.video/cbrrdr.webm|Michishirube|Minori Chihara|65.4|21827|Violet Evergarden|https://nl.catbox.video/ftgqmf.mp3
Death March kara Hajimaru Isekai Kyousoukyoku|ED|1|https://nl.catbox.video/p7qn6h.webm|Suki no Skill|Wake Up, Girls!|34.6|97907|Death March to the Parallel World Rhapsody|https://nl.catbox.video/2l3w2i.mp3
Cardcaptor Sakura: Clear Card-hen|ED|1|https://nl.catbox.video/u4lag3.webm|Jewelry|Saori Hayami|24.2|97881|Cardcaptor Sakura: Clear Card|https://nl.catbox.video/byxjlm.mp3
Nanatsu no Taizai: Imashime no Fukkatsu|ED|2|https://nl.catbox.video/k1q0ng.webm|Chikai|Sora Amamiya|13.5|99539|The Seven Deadly Sins: Revival of The Commandments|https://nl.catbox.video/lutppe.mp3
ReLIFE|ED|4|https://nl.catbox.video/ynpcct.webm|Button (Piano Version)|PENGUIN RESEARCH|65.2|98635|ReLIFE|https://nl.catbox.video/4pe1nw.mp3
Karakai Jouzu no Takagi-san|ED|2|https://nl.catbox.video/60gi1w.webm|AM11:00|Rie Takahashi|34.7|99468|Teasing Master Takagi-san|https://nl.catbox.video/pgoemv.mp3
Yuru Camp△|ED|1|https://nl.catbox.video/0n1yhg.webm|Fuyu Biyori|Eri Sasaki|53.7|98444|Laid-Back Camp|https://nl.catbox.video/xtzsny.mp3
Cardcaptor Sakura: Clear Card-hen|ED|2|https://nl.catbox.video/xw2rpd.webm|Rewind|Minori Suzuki|22.3|97881|Cardcaptor Sakura: Clear Card|https://nl.catbox.video/0s66rc.mp3
Karakai Jouzu no Takagi-san|ED|4|https://nl.catbox.video/p2tlvh.webm|Kaze Fukeba Koi|Rie Takahashi|24.1|99468|Teasing Master Takagi-san|https://nl.catbox.video/26zzjs.mp3
Karakai Jouzu no Takagi-san|ED|7|https://nl.catbox.video/ste9eh.webm|Deatta Koro no You ni|Rie Takahashi|27.9|99468|Teasing Master Takagi-san|https://nl.catbox.video/99gsay.mp3
Overlord II|ED|1|https://nl.catbox.video/ri49y6.webm|HYDRA|MYTH & ROID|52.2|98437|Overlord II|https://nl.catbox.video/bksgmd.mp3
ReLIFE|ED|2|https://nl.catbox.video/4bhl6c.webm|CHE.R.RY|YUI|22.8|98635|ReLIFE|https://nl.catbox.video/59np2h.mp3
Ryuuou no Oshigoto!|ED|1|https://nl.catbox.video/s3rdng.webm|Mamoritai Mono no Tame ni|Miku Itou|25.3|99507|The Ryuo's Work is Never Done!|https://nl.catbox.video/smwmfs.mp3
Darling in the FranXX|ED|6|https://nl.catbox.video/ei1a72.webm|Darling|XX:me|32.3|99423|Darling in the FranXX|https://nl.catbox.video/eaqgns.mp3
Darling in the FranXX|ED|5|https://nl.catbox.video/jz4lge.webm|Escape|XX:me|48.7|99423|Darling in the FranXX|https://nl.catbox.video/vz6c5d.mp3
Ryuuou no Oshigoto!|ED|2|https://nl.catbox.video/xl5al6.webm|Ano Hi no Yume|Miku Itou|22.3|99507|The Ryuo's Work is Never Done!|https://nl.catbox.video/wx8qvn.mp3
Karakai Jouzu no Takagi-san|ED|6|https://nl.catbox.video/9qmcij.webm|Ai Uta|Rie Takahashi|33.6|99468|Teasing Master Takagi-san|https://nl.catbox.video/2ndj4t.mp3
Karakai Jouzu no Takagi-san|ED|3|https://nl.catbox.video/7azrqb.webm|Jitensha|Rie Takahashi|35.3|99468|Teasing Master Takagi-san|https://nl.catbox.video/sblfet.mp3
ReLIFE|ED|1|https://nl.catbox.video/byu1c8.webm|Hana|ORANGE RANGE|20.6|98635|ReLIFE|https://nl.catbox.video/j1klhq.mp3
Sakura no Chikai: Marronni☆Yell Higashi no Hichou Shimotsuke-shi o Yell!|ED|1|https://nl.catbox.video/2xf3tu.webm|Sakura no Tegami|Marronni☆Yell|13.5|100657|Sakura no Chikai: Marronni☆Yell Higashi no Hichou Shimotsuke-shi o Yell!|https://nl.catbox.video/p8w7do.mp3
Darling in the FranXX|ED|2|https://nl.catbox.video/evu77s.webm|Manatsu no Setsuna|XX:me|29.4|99423|Darling in the FranXX|https://nl.catbox.video/llsvig.mp3
Hakumei to Mikochi|ED|1|https://nl.catbox.video/zx0h9r.webm|Harvest Moon Night|Shino Shimoji & Aoi Yuuki|21.8|99748|Hakumei and Mikochi: Tiny Little Life in the Woods|https://nl.catbox.video/u38i3r.mp3
Gakuen Babysitters|ED|1|https://nl.catbox.video/f9oxvi.webm|Oshiete yo|Hyorotto Danshi|19.9|98503|School Babysitters|https://nl.catbox.video/vth5gx.mp3
Darling in the FranXX|ED|4|https://nl.catbox.video/pa36tv.webm|Hitori|XX:me|33.2|99423|Darling in the FranXX|https://nl.catbox.video/w0l54h.mp3
Sora yori mo Tooi Basho|ED|2|https://nl.catbox.video/4b7tjq.webm|Mata ne|saya|44.1|99426|A Place Further Than the Universe|https://nl.catbox.video/7jsh40.mp3
Violet Evergarden|ED|3|https://nl.catbox.video/mhppuq.webm|Violet Snow|Aira Yuuki|49.8|21827|Violet Evergarden|https://nl.catbox.video/w0xfkn.mp3
Hakumei to Mikochi|ED|2|https://nl.catbox.video/1m59qd.webm|Minasoko no Rhythm|Aoi Yuuki|19.4|99748|Hakumei and Mikochi: Tiny Little Life in the Woods|https://nl.catbox.video/yl5eix.mp3
ReLIFE|ED|3|https://nl.catbox.video/x2pczf.webm|LA LA LA LOVE SONG|Toshinobu Kubota with Naomi Campbell|22.3|98635|ReLIFE|https://nl.catbox.video/6gi15b.mp3
Karakai Jouzu no Takagi-san|ED|1|https://nl.catbox.video/8ico4w.webm|Kimagure Romantic|Rie Takahashi|39.5|99468|Teasing Master Takagi-san|https://nl.catbox.video/6i6bx9.mp3
Shinmai Maou no Testament Departures|ED|1|https://nl.catbox.video/qv4rmo.webm|Over The Testament|Metamorphose|45.8|100451|The Testament of Sister New Devil Departures|https://nl.catbox.video/b4b5wl.mp3
Violet Evergarden|ED|2|https://nl.catbox.video/a5ewpp.webm|Believe in...|Aira Yuuki|42.9|21827|Violet Evergarden|https://nl.catbox.video/i27u2b.mp3
Darling in the FranXX|ED|1|https://nl.catbox.video/76cx84.webm|Torikago|XX:me|50.1|99423|Darling in the FranXX|https://nl.catbox.video/0dn9b5.mp3
Mitsuboshi Colors|ED|1|https://nl.catbox.video/yqknon.webm|Miracle Colors☆Honjitsu mo Ijou Nashi!|Colors☆Slash|29.9|98439|Mitsuboshi Colors|https://nl.catbox.video/tworko.mp3
